X,Y,Z
-2.59813309,  -4.58170700,   144.966888    
6.27452707,   11.5727158,   130.905991    
8.02868176,   4.85840416,   134.370758    
6.34412670,   3.79254413,   147.875214    
5.49569368,   10.1148024,   135.758789    
10.6677189,   5.23306656,   134.043289    
7.29846430,   11.0984306,   148.381485    
6.56166506,   1.82443190,   135.617676    
4.86605501,   2.49148893,   143.881668    
7.84357023,   14.5355568,   129.867920    
4.65020657,  0.440791607,   136.487289    
6.50897217,  -8.84516144,   142.333527    
19.3661060,   4.53562641,   147.967789    
3.02955770,   4.37453461,   145.734756    
9.04680347,   6.53195190,   135.056122    
10.6848202, -0.858970165,   139.465225    
6.08962917,   1.13401365,   138.169479    
0.798683167,   15.4539223,  135.707352    
8.20908928,  -1.20158386,   141.292694    
7.54291582,   10.4814091,   134.862030    
2.63176394,  -13.0174828,   148.247391    
5.81344986,   5.48821735,   140.593277    
11.9552593,   15.2895727,   147.224991    
0.401280880,   3.47045422,  151.329529    
2.89820099,   4.81190920,   136.810059    
15.8021164,   4.16147852,   142.755035    
3.10721278,   4.17374182,   137.525253    
9.25965977,   9.37438488,   142.634323    
7.08065939,  -1.30397320,   139.015793    
14.6444073,   2.21802902,   138.127686    
4.79076481,   6.77061844,   147.772339    
2.89770889,   5.08447218,   149.935532    
1.20425558,   3.71058321,   140.352600    
9.85471344,   2.80740261,   128.428085    
4.47019100,   6.11434555,   146.754761    
3.81658626,   9.65486717,   150.949005    
5.00985622, -0.765526772,   147.830093    
7.16148281,   17.3842678,   133.668701    
7.03400612,   12.1095066,   143.183136    
4.22356701,   10.9585733,   137.627975    
-12.7975101,  -12.7756090,  -193.377487    
-0.967297196,  8.76362038,  -212.125351    
1.37157524, -0.188794300,  -207.505661    
-0.874497533,  -1.60994112,  -189.499725    
-2.00574160,   6.81973648,  -205.654938    
4.89029169,  0.310755700,  -207.942276    
0.397952318,   8.13124084,  -188.824692    
-0.584446430,  -4.23409081,  -205.843109    
-2.84525990,  -3.34468150,  -194.824432    
1.12476027,   12.7140760,  -213.509445    
-3.13305831,  -6.07894468,  -204.683609    
-0.654704094,  -18.4602146,  -196.888626    
16.4881420, -0.619164705,  -189.376282    
-5.29392290, -0.833953559,  -192.353653    
2.72907090,   2.04260254,  -206.591843    
4.91309309,  -7.81196022,  -200.713043    
-1.21382797,  -5.15464830,  -202.440689    
-8.26842213,   13.9385624,  -205.723526    
1.61211908,  -8.26877880,  -198.276398    
0.723887682,   7.30854559,  -206.850632    
-5.82431459,  -24.0233097,  -189.003479    
-1.58206689,  0.650956333,  -199.208969    
6.60701275,   13.7194300,  -190.366684    
-8.79829216,  -2.03939438,  -184.893967    
-5.46906519, -0.250788033,  -204.253250    
11.7361555,  -1.11802864,  -196.326630    
-5.19038296,  -1.10167766,  -203.299652    
3.01287985,   5.83251333,  -196.487564    
0.107545815,  -8.40529728,  -201.312271    
10.1925430,  -3.70929456,  -202.496414    
-2.94564700,   2.36082482,  -189.636887    
-5.46972179,  0.112629294,  -186.752625    
-7.72765923,  -1.71922231,  -199.529861    
3.80628419,  -2.92346311,  -215.429230    
-3.37307858,   1.48579407,  -190.993652    
-4.24455166,   6.20648909,  -185.401337    
-2.65352488,  -7.68736935,  -189.559891    
0.215310320,   16.5123577,  -208.441742    
0.0453413278,   9.47934151,  -195.755829    
-3.70191026,   7.94476414,  -203.162704    
-17.3847141,  -1.12331223,  -211.241287    
-5.11449528,   14.6027441,  -195.485794    
7.90889311,   3.31540227,  -188.606918    
1.31285763,   6.99428082,  -199.647751    
-5.77068710,  -1.53434169,  -213.864105    
-17.8152924,   9.58150005,  -204.433258    
-3.23909140,  -3.56180787,  -195.506348    
-2.24842072,   1.30871654,  -200.035843    
-1.82305920,  -2.40407205,  -197.009720    
9.69463539,  -15.0331755,  -204.703735    
3.75009942,  -9.96848583,  -191.360992    
-1.38236046,  -9.63521671,  -200.177475    
8.95018864,   8.11618805,  -191.718338    
-2.41696525,  -8.32053661,  -196.533020    
5.21361017,  -2.57476258,  -199.232239    
0.146962240,   1.33376586,  -215.460953    
-15.4580421,   1.91514385,  -190.557587    
0.761553526,  -6.08109474,  -196.324173    
3.09625673,  -2.36516261,  -201.608444    
-0.820599139,  -4.33575773,  -194.527985    
1.85112667,   11.3681574,  -201.296600    
7.88748455,   1.98700631,  -205.511627    
-6.35893202,  -1.82992935,  -196.341507    
-1.59111226,   7.21126461,  -202.986450    
3.40056896,  -5.32017374,  -209.027740    
-21.3061447,   2.80233431,  -202.100586    
0.223904878,  -14.0633287,  -208.247833    
-5.60216618,  -11.3406115,  -182.603241    
-10.3500023,   6.07772255,  -204.971466    
-2.08931398,   4.05292368,  -196.348206    
2.28023911,  -6.12209797,  -203.830063    
-9.84242916,   7.03657007,  -195.222794    
0.463682592,  -2.37184262,  -205.174332    
4.66936111,  -10.0571299,  -216.514648    
10.9196568,  -7.04206276,  -196.694626    
-10.9694996,  -3.17084050,  -205.933014    
-2.65985489,   1.63075185,  -214.821777    
0.559849620,  -0.0918850303,  -199.560486    
16.2572556,  -4.95570755,  -200.332809    
2.37584686,   4.39425421,  -210.896591
